id,Pre-packaged Job Solutions,URL,Remote Testing (y/n),Adaptive/IRT (y/n),Test Type,Description,Job Levels,Languages,Assessment Length,Assessment Length Parsed,combined_text,llm_summary
4188,Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,S,Simulated data entry test that measures the ability to process receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",8,50,"Branch Manager - Short Form. This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available. Test Type: A B P, Duration: 50","This assessment uses multiple-choice questions to evaluate management skills (potential, judgment, leadership, team management, problem-solving) in financial institution branch managers.  Test type: ABP. Duration: 50 minutes."
4168,ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,Yes,No,K,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor,","English (USA),",10,28,"Cashier Solution. The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available. Test Type: B A P, Duration: 28","This BAP assessment (flexible duration) evaluates entry-level cashier skills, including handling payments, customer service, and issuing receipts/refunds.  Duration: 28 minutes."
4019,Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,K,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.","Mid-Professional, Professional Individual Contributor,","English (USA),",17,48,"Claims/Operations Supervisor Solution. The Claims/Operations Supervisor solution is for entry-level management positions that involve supervising hourly employees. Sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Claims Supervisor, Operations Supervisor, and Customer Service Supervisor. Multiple configurations of this solution are available. Test Type: P S A B, Duration: 48","This 48-minute PSAB test assesses skills for entry-level management positions (e.g., Team Leader, Supervisor).  It evaluates skills in scheduling, employee assignment, coaching, training, prioritization, and decision-making."
3778,Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,K,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.","Mid-Professional, Professional Individual Contributor,","English (USA),",20,41,"Contact Center Customer Service + 8.0. The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles. Test Type: A B C P S, Duration: 41","This Contact Center Customer Service assessment (Type: A B C P S, flexible duration) measures skills for entry-level contact center roles focused on customer service.  It uses a simulation, behavioral assessment, and cognitive test."
4069,Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,K,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",10,31,"Contact Center Customer Service 8.0. The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service. Test Type: S B C P, Duration: 31","This is a 31-minute, multiple-choice (S B C P) assessment evaluating entry-level contact center customer service skills."
4004,Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,K,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",10,50,"Contact Center Manager - Short Form. The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates; interacting day-to-day with subordinates; and training employees. Potential job titles that use this solution are: Contact Center Team Leader, First Line Supervisor, and Contact Center Manager. Test Type: A B P S, Duration: 50","This 50-minute A B P S assessment evaluates mid-to-upper-level contact center management skills, including supervision, coordination, employee interaction, and training.  Target roles include Contact Center Team Leader, First Line Supervisor, and Contact Center Manager."
4223,Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,K,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.","Graduate,","English (USA),",7 minutes,41,"Contact Center Sales & Service + 8.0. The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles. Test Type: P B C A S, Duration: 41","This 41-minute Contact Center Sales & Service assessment (P B C A S type) measures skills for entry-level contact center roles.  It uses a contact center simulation, behavioral assessment, and cognitive test to evaluate customer service and sales abilities."
4159,Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,K,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.","Mid-Professional, Professional Individual Contributor,","English (USA),",13,31,"Contact Center Sales & Service 8.0. The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers. Test Type: S B C P, Duration: 31",This Contact Center Sales & Service 8.0 assessment (S B C P test type) measures skills relevant to sales and customer retention in contact center roles.  Duration: 31 minutes.
4311,AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Yes,No,P,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,"General Population,","English (USA),",16,45,"Contact Center Team Lead/Coach - Short Form. The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. Test Type: A B P S, Duration: 45","This 45-minute A B P S assessment evaluates entry-level contact center leadership skills.  It assesses abilities in scheduling, task assignment, employee coaching, skill development, prioritization, and independent decision-making."
4028,Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,K,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.","Mid-Professional, Professional Individual Contributor,","English (USA),",6,39,"Contact Centre Agent Solution - UK. This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. The candidate answers multiple choice questions as well as questions in a customer call simulation environment. The solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. In addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness. Test Type: A B P S, Duration: 39","This 39-minute assessment uses multiple-choice questions and simulated customer calls to evaluate entry-level contact centre candidates.  Key skills assessed include customer service, problem-solving, data entry speed/accuracy, multitasking, and work ethic.  Test type: A B P S."
4160,Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Yes,No,K,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.","Mid-Professional, Professional Individual Contributor,","English (USA),",7,42,"Customer Service - Short Form. The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent. Test Type: A B P, Duration: 42","This 42-minute Ability-Based (A B P) test assesses entry-level customer service skills, including order-taking, problem-solving, conflict resolution, and information provision.  Suitable for roles like Customer Service Representative and Account Representative."
4153,Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,Yes,No,K,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.","Mid-Professional, Professional Individual Contributor,","English (USA),",11,42,"Customer Service - Short Form - UK. The Customer Service Representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent. Test Type: A B P, Duration: 42","This 42-minute Ability, Behavioral, and Personality (A B P) test assesses entry-level customer service skills, including order-taking, problem-solving, conflict resolution, and information provision.  Suitable for roles like Customer Service Representative and Account Representative."
4021,AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,Yes,No,K,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.","Mid-Professional, Professional Individual Contributor,","English (USA),",9,44,"Customer Service with Sales - Short Form. The Customer Service with Sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Sales Representative. Test Type: A B P, Duration: 44","This 44-minute Ability-Based (A B P) assessment evaluates entry-level Customer Service with Sales skills.  It assesses order-taking, problem-solving, sales techniques, customer handling, and account management."
4030,Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,No,K,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.","Mid-Professional, Professional Individual Contributor,","English (USA),",7,69,"Director - Short Form. The Director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and operations of companies. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources. Potential job titles that use this solution are: Director, Regional Director, and Director of Operations. Test Type: A B P, Duration: 69","This 69-minute ABP assessment evaluates candidates for senior-level Director roles.  It assesses skills in planning, directing, coordinating business activities, policy formulation, operations management, and resource allocation."
4011,Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,K,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.","Mid-Professional, Professional Individual Contributor,","English (USA),",9,65,"District/Regional Manager Solution. The District/Regional Manager solution is for mid- to senior-level managerial positions that oversee multiple stores within a defined area. Sample tasks for these jobs include, but are not limited to: directing a group of supervisors or managers, having profit and loss responsibility for a district or region, and aligning work with overall company goals. Potential job titles that use this solution are: Regional Director, District Manager, General Manager, Regional Manager, Store Manager, and Area Manager. There are multiple configurations and versions of this solution available. Test Type: A B P, Duration: 65","This assessment, using A B P test type and lasting 65 minutes, evaluates mid- to senior-level managerial skills (e.g., directing supervisors, profit & loss responsibility, aligning with company goals) for roles like Regional/District/Area Manager.  Multiple configurations are available."
4073,Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,Yes,No,K,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.","Mid-Professional, Professional Individual Contributor,","English (USA),",5,18,"Entry Level Cashier 7.1 (Americas). The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. Test Type: B P A, Duration: 18","This 18-minute B P A test assesses entry-level cashier skills (handling payments, customer service, receipts/refunds) for roles like Cashier, Sales Associate, and Clerk."
4075,Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.","Mid-Professional, Professional Individual Contributor,","English (USA),",5,18,"Entry Level Cashier 7.1 (International). The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. Test Type: A B P, Duration: 18","This is an 18-minute Aptitude (A), Behavior (B), and Personality (P) test assessing entry-level cashier skills (handling payments, customer service, receipts/refunds).  It's suitable for positions like Cashier, Sales Associate, and Clerk."
4022,Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.","Mid-Professional, Professional Individual Contributor,","English (USA),",6,19,"Entry Level Customer Service 7.1 (Americas). The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"". Test Type: C P, Duration: 19","This Entry Level Customer Service assessment (Americas region) tests customer service skills (phone/in-person interaction, order-taking, problem-solving, handling difficult customers).  It's a Computerized (CP) test, lasting 19 minutes."
4115,Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.","Mid-Professional, Professional Individual Contributor,","English (USA),",6,19,"Entry Level Customer Service 7.1 (International). The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"". Test Type: C P, Duration: 19","This is a 19-minute Computer-Based (CP) assessment for entry-level customer service roles (retail and contact center).  It evaluates skills in customer interaction (phone/in-person), order taking, problem-solving, and handling difficult customers.  The test has an International, South Africa, and Americas version."
4023,Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.","Mid-Professional, Professional Individual Contributor,","English (USA),",8,19,"Entry Level Customer Service 7.1 (South Africa). The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organization's products or services. Sample tasks for these jobs include but are not limited to interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"". Test Type: C P, Duration: 19","This 19-minute computer-based (CP) assessment evaluates entry-level customer service skills (e.g., phone/in-person interaction, order-taking, problem-solving, handling difficult customers) for retail and contact center roles.  The test is available in International, South Africa, and Americas packages."
4017,ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,Yes,No,K,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.","Mid-Professional, Professional Individual Contributor,","English (USA),",13,20,"Entry level Sales 7.1 (Americas). The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Test Type: B C P, Duration: 20","This is a 20-minute B C P-type assessment for entry-level sales roles (Americas) focusing on skills like product promotion, customer persuasion, and sales transaction completion."
3786,ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,Yes,Yes,K,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.","Mid-Professional, Professional Individual Contributor,","English (USA),",30,20,"Entry level Sales 7.1 (International). The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.
Report Language Availability: English (USA), English International, Portuguese, French Canadian, German, French, Chinese Simplified, Spanish, North American Spanish. Test Type: P B C, Duration: 20","This is a 20-minute, paper-based and computer-based (PBC) assessment for entry-level sales roles.  It evaluates skills in product promotion, customer persuasion, and sales transaction completion.  Available in multiple languages."
4219,Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,E,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.
We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.
Exercises are available across a wide range of job levels and industry contexts.
Contact SHL to find out more.","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English International, English (USA),",Variable,20,"Entry Level Sales Sift Out 7.1. The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer Test Type: C P B, Duration: 20","This is a 20-minute Computer-Based (CBP) assessment for entry-level sales roles.  It assesses skills in product promotion, customer persuasion, and sales transaction completion."
3980,Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,Yes,No,S,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.

Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional,","English (USA),",max 20,50,"Event Sales Manager Solution. The Event Sales Manager solution is designed for management level positions in the hospitality industry. Sample tasks include selling use of facility space for special events and managing staff. The solution is focused on sales, solving problems and making good decisions. Potential job titles that use this solution are: Event Sales Manager, Events Manager and Special Events Manager. Multiple configurations of this solution are available. Test Type: S A B P, Duration: 50","This assessment, using SA BP format, evaluates sales, problem-solving, and decision-making skills for hospitality management roles (Event Sales Manager, Events Manager, Special Events Manager).  Duration: 50 minutes."
